Vivado Simulator 2018.3
Time resolution is 1 ps
time=0, DM[0]=xxxxxxxx, regs[1]=xxxxxxxx, regs[2]=xxxxxxxx, regs[3]=xxxxxxxx, regs[4]=xxxxxxxx, regs[5]=xxxxxxxx, regs[6]=xxxxxxxx, regs[7]=xxxxxxxx, regs[8]=xxxxxxxx, regs[9]=xxxxxxxx, regs[10]=xxxxxxxx, regs[31]=xxxxxxxx
time=5000, DM[0]=xxxxxxxx, regs[1]=00000000, regs[2]=00000000, regs[3]=00000000, regs[4]=00000000, regs[5]=00000000, regs[6]=00000000, regs[7]=00000000, regs[8]=00000000, regs[9]=00000000, regs[10]=00000000, regs[31]=00000000
time=130000, DM[0]=xxxxxxxx, regs[1]=00000005, regs[2]=00000000, regs[3]=00000000, regs[4]=00000000, regs[5]=00000000, regs[6]=00000000, regs[7]=00000000, regs[8]=00000000, regs[9]=00000000, regs[10]=00000000, regs[31]=00000000
time=230000, DM[0]=xxxxxxxx, regs[1]=00000005, regs[2]=00000003, regs[3]=00000000, regs[4]=00000000, regs[5]=00000000, regs[6]=00000000, regs[7]=00000000, regs[8]=00000000, regs[9]=00000000, regs[10]=00000000, regs[31]=00000000
time=330000, DM[0]=xxxxxxxx, regs[1]=00000005, regs[2]=00000003, regs[3]=00000008, regs[4]=00000000, regs[5]=00000000, regs[6]=00000000, regs[7]=00000000, regs[8]=00000000, regs[9]=00000000, regs[10]=00000000, regs[31]=00000000
time=450000, DM[0]=00000008, regs[1]=00000005, regs[2]=00000003, regs[3]=00000008, regs[4]=00000000, regs[5]=00000000, regs[6]=00000000, regs[7]=00000000, regs[8]=00000000, regs[9]=00000000, regs[10]=00000000, regs[31]=00000000
time=590000, DM[0]=00000008, regs[1]=00000005, regs[2]=00000003, regs[3]=00000008, regs[4]=00000008, regs[5]=00000000, regs[6]=00000000, regs[7]=00000000, regs[8]=00000000, regs[9]=00000000, regs[10]=00000000, regs[31]=00000000
time=950000, DM[0]=00000008, regs[1]=00000005, regs[2]=00000003, regs[3]=00000008, regs[4]=00000008, regs[5]=00000000, regs[6]=00000002, regs[7]=00000000, regs[8]=00000000, regs[9]=00000000, regs[10]=00000000, regs[31]=00000000
time=1050000, DM[0]=00000008, regs[1]=00000005, regs[2]=00000003, regs[3]=00000008, regs[4]=00000008, regs[5]=00000000, regs[6]=00000002, regs[7]=00000000, regs[8]=00000000, regs[9]=00000000, regs[10]=00000000, regs[31]=00000030
time=1150000, DM[0]=00000008, regs[1]=00000005, regs[2]=00000003, regs[3]=00000008, regs[4]=00000008, regs[5]=00000000, regs[6]=00000002, regs[7]=00000000, regs[8]=00000008, regs[9]=00000000, regs[10]=00000000, regs[31]=00000030
time=1250000, DM[0]=00000008, regs[1]=00000005, regs[2]=00000003, regs[3]=00000008, regs[4]=00000008, regs[5]=00000000, regs[6]=00000002, regs[7]=00000000, regs[8]=00000008, regs[9]=00000009, regs[10]=00000000, regs[31]=00000030
time=1350000, DM[0]=00000008, regs[1]=0000000f, regs[2]=00000003, regs[3]=00000008, regs[4]=00000008, regs[5]=00000000, regs[6]=00000002, regs[7]=00000000, regs[8]=00000008, regs[9]=00000009, regs[10]=00000000, regs[31]=00000030
time=1450000, DM[0]=00000008, regs[1]=0000000f, regs[2]=000000f0, regs[3]=00000008, regs[4]=00000008, regs[5]=00000000, regs[6]=00000002, regs[7]=00000000, regs[8]=00000008, regs[9]=00000009, regs[10]=00000000, regs[31]=00000030
time=1570000, DM[0]=00000008, regs[1]=0000000f, regs[2]=000000f0, regs[3]=00000008, regs[4]=00000008, regs[5]=000000ff, regs[6]=00000002, regs[7]=00000000, regs[8]=00000008, regs[9]=00000009, regs[10]=00000000, regs[31]=00000030
time=1670000, DM[0]=00000008, regs[1]=0000000f, regs[2]=000000f0, regs[3]=00000008, regs[4]=00000008, regs[5]=000000ff, regs[6]=000000ff, regs[7]=00000000, regs[8]=00000008, regs[9]=00000009, regs[10]=00000000, regs[31]=00000030
time=1790000, DM[0]=00000008, regs[1]=0000000f, regs[2]=000000f0, regs[3]=00000008, regs[4]=00000008, regs[5]=000000ff, regs[6]=000000ff, regs[7]=000000ff, regs[8]=00000008, regs[9]=00000009, regs[10]=00000000, regs[31]=00000030
time=1910000, DM[0]=00000008, regs[1]=0000000f, regs[2]=000000f0, regs[3]=00000008, regs[4]=00000008, regs[5]=000000ff, regs[6]=000000ff, regs[7]=000000ff, regs[8]=ffffff00, regs[9]=00000009, regs[10]=00000000, regs[31]=00000030
time=1930000, DM[0]=00000008, regs[1]=0000000f, regs[2]=000000f0, regs[3]=00000008, regs[4]=00000008, regs[5]=000000ff, regs[6]=000000ff, regs[7]=000000ff, regs[8]=000000
